id;nombre;correo;pais
1;Silla;hardware;Marroquinería Rojo
2;Blanco;Cliente;vía Madera
3;Humano Hogar;asíncrona;Guapo
4;Artesanal Infraestructura Hogar;Totalmente Grupo;Pantalones
5;Granito herramientas dinámica;Mongolia Bicicleta Arquitecto;Supervisor
6;Cliente Nepal Fantástico;aplicación;Contabilidad
7;India;Métricas Somalia;mano Rojo Integración
8;Canarias Hogar acompasada;Algodón;Baleares crítica Fantástico
9;Nauru;Cliente País Gris;Camiseta Metal
10;Blanco Raton Camiseta;Isabel;Respuesta Verde
